row,is,becomes
1,4985,4.313333333
2,4986,8.952380952
3,4987,3.154929577
4,4988,6.845360825
5,4989,4.916666667
6,4990,5.991150442
7,4991,8.333333333
8,4992,4.032520325
9,4993,5.034782609
10,4994,6.688311688
11,4995,6.32
12,4996,4.420454545
13,4997,4.87012987
14,4998,9.488095238
15,4999,6.239583333
16,5000,3.542553191
17,5001,2.627118644
18,5002,4.862745098
19,5003,6.833333333
20,5004,4.421052632
21,5005,12.41666667
22,5006,4.413793103
23,5007,2.928571429
24,5008,4.230769231
25,5009,6.214285714
26,5010,5.612903226
27,5011,4.86637931
28,5012,5.073170732
29,5013,5
30,5014,7.424242424
31,5015,4.192307692
32,5016,1.926829268
33,5017,3.269230769
34,5018,2.95
35,5019,1.333333333
36,5020,6.36
37,5021,17.75
38,5022,2.328767123
39,5023,20.5
40,5024,11.5875
41,5025,11
42,5026,2.29787234
43,5027,3.592592593
44,5028,6.977777778
45,5029,7.25
46,5030,5.228571429
47,5031,3.686075949
48,5032,15.23
49,5033,5.164556962
50,5034,4.150837989
51,5035,6.9
52,5036,3.418367347
53,5037,5.234848485
54,5038,2.979591837
55,5039,1.785365854
56,5040,3.003533569
57,5041,3.842857143
58,5042,5.232142857
59,5043,2.007033998
60,5044,5.705128205
61,5045,2.511111111
62,5046,3.375886525
63,5047,2.564705882
64,5048,5.316753927
65,5049,10.6969697
66,5050,2.963636364
67,5051,4.164705882
68,5052,8.719298246
69,5053,4.205128205
70,5054,6.508928571
71,5055,2.188679245
72,5056,1.862385321
73,5057,19.43181818
74,5058,2.344907407
75,5059,4.298245614
76,5060,5.122743682
77,5061,3.858974359
78,5062,3.462406015
79,5063,7.352697095
80,5064,4.186666667
81,5065,6.178571429
82,5066,2.189189189
83,5067,6.953900709
84,5068,0.261904762
85,5069,5.074074074
86,5070,4.4
87,5071,4.486842105
88,5072,3.482758621
89,5073,2.838709677
90,5074,5.12244898
91,5075,2.861111111
92,5076,4.325581395
93,5077,3.72972973
94,5078,2.389221557
95,5079,2.701388889
96,5080,15.58823529
97,5081,2.371335505
98,5082,3.784753363
99,5083,7.473684211
100,5084,2.872340426
101,5085,4.6
102,5086,10.88888889
103,5087,2.855421687
104,5088,2.221621622
105,5089,3.923076923
106,5090,3.75
107,5091,2.72
108,5092,2.352517986
109,5093,6
110,5094,3.811320755
111,5095,2.357142857
112,5096,3.68159204
113,5097,4.616666667
114,5098,5.357142857
115,5099,3.658227848
116,5100,2.282352941
117,5101,4.222222222
118,5102,3.085714286
119,5103,9.380952381
120,5104,10.28712871
121,5105,2.642857143
122,5106,6.5
123,5107,4.951612903
124,5108,4.527777778
125,5109,3.828125
126,5110,2.102409639
127,5111,2.94
128,5112,2.703125
129,5113,8.136986301
130,5114,4.428571429
131,5115,5.860759494
132,5116,3.038167939
133,5117,4.513761468
134,5118,2.48
135,5119,3.2375
136,5120,3.777777778
137,5121,3.323076923
138,5122,3.869281046
139,5123,2.923076923
140,5124,2.5
141,5125,4.882352941
142,5126,2.323529412
143,5127,3.945945946
144,5128,4.916666667
145,5129,3.931034483
146,5130,5
147,5131,0.957746479
148,5132,1.636363636
149,5133,0
150,5134,4.565217391
151,5135,3.027777778
152,5136,3.938271605
153,5137,2.974358974
154,5138,4.545454545
155,5139,3.08974359
156,5140,2.592920354
157,5141,7.333333333
158,5142,6.384615385
159,5143,2.707317073
160,5144,0
161,5145,6.857142857
162,5146,1.142857143
163,5147,2.4
164,5148,0
165,5149,2.315789474
166,5150,1.696969697
167,5151,3.276595745
168,5152,3.24
169,5153,3.354166667
170,5154,1.039325843
171,5155,7.113402062
172,5156,11.02970297
173,5157,2.189655172
174,5158,1.042372881
175,5159,1.813953488
176,5160,1.346153846
177,5161,12.52941176
178,5162,4.666666667
179,5163,3.247311828
180,5164,4.448979592
181,5165,4.764705882
182,5166,3.184615385
183,5167,3.487179487
184,5168,4.083333333
185,5169,8.268292683
186,5170,2.189655172
187,5171,7.881578947
188,5172,4.814285714
189,5173,1.538461538
190,5174,9.681818182
191,5175,6.631578947
192,5176,11.03703704
193,5177,7.380952381
194,5178,3.8
195,5179,15.79381443
196,5180,2.396551724
197,5181,2.370689655
198,5182,10.76923077
199,5183,9.375
200,5184,2.935483871
201,5185,1.688888889
202,5186,3.071428571
203,5187,3.702479339
204,5188,6.256410256
205,5189,2.451612903
206,5190,3.5
207,5191,4.4
208,5192,5.917431193
209,5193,3.322580645
210,5194,3.367816092
211,5195,3.375
212,5196,11.41
213,5197,2.126984127
214,5198,2.25
215,5199,1.824
216,5200,4.315789474
217,5201,1.178082192
218,5202,1.425925926
219,5203,1.572815534
220,5204,2.839622642
221,5205,2.192307692
222,5206,2.648648649
223,5207,1.805555556
224,5208,1.273684211
225,5209,1.26
226,5210,2.81779661
227,5211,0.852459016
228,5212,4.444444444
229,5213,1.578947368
230,5214,4.694444444
231,5215,3.209302326
232,5216,4.25
233,5217,3.71875
234,5218,2.378378378
235,5219,1.656934307
236,5220,4.642857143
237,5221,4.701149425
238,5222,4.386138614
239,5223,3.801204819
240,5224,3.416666667
241,5225,2.127659574
242,5226,5.418604651
243,5227,2.814814815
244,5228,1.596491228
245,5229,1.696202532
246,5230,2.093333333
247,5231,1.235294118
248,5232,4.2
249,5233,2.61038961
250,5234,5.178082192
251,5235,2.366071429
252,5236,2.466666667
253,5237,4.077922078
254,5238,1.837209302
255,5239,2.603773585
256,5240,4.544554455
257,5241,2.942028986
258,5242,2.626373626
259,5243,2.722222222
260,5244,2.323943662
261,5245,3.578947368
262,5246,2.248648649
263,5247,1.477941176
264,5248,2.328947368
265,5249,2.575
266,5250,2.437984496
267,5251,2.390804598
268,5252,2.095238095
269,5253,2.90625
270,5254,2.20754717
271,5255,2.458333333
272,5256,2.925925926
273,5257,2.920634921
274,5258,3.521929825
275,5259,2.9
276,5260,2.358490566
277,5261,2.61
278,5262,1.9
279,5263,2.88
280,5264,2.016393443
281,5265,1.778443114
282,5266,2.276422764
283,5267,2.087719298
284,5268,1.64556962
285,5269,2.987654321
286,5270,1.589595376
287,5271,1.358108108
288,5272,0.970260223
289,5273,1.548387097
290,5274,2.068376068
291,5275,6.285714286
292,5276,3.082901554
293,5277,2.303571429
294,5278,3.360824742
295,5279,2.633879781
296,5280,4.651162791
297,5281,2.06779661
298,5282,5.408450704
299,5283,3.859813084
300,5284,1.326732673
301,5285,1.377483444
302,5286,7.813953488
303,5287,0.746753247
304,5288,1.899082569
305,5289,3.223880597
306,5290,3.12962963
307,5291,3.606060606
308,5292,3.852941176
309,5293,5.382608696
310,5294,4.226804124
311,5295,3.083333333
312,5296,1.126190476
313,5297,0.720930233
314,5298,0.553672316
315,5299,1.945
316,5300,0.783068783
317,5301,1.37704918
318,5302,3.708661417
319,5303,2.9
320,5304,3.509433962
321,5305,1.555555556
322,5306,3.243902439
323,5307,2.777777778
324,5308,2.159846547
325,5309,2.71257485
326,5310,1.847715736
327,5311,0.413265306
328,5312,12.52471483
329,5313,5.06504065
330,5314,5.65
331,5315,5.631067961
332,5316,4.796296296
333,5317,5.247706422
334,5318,3.260606061
335,5319,2.337837838
336,5320,6.222826087
337,5321,3.639751553
338,5322,7.3125
339,5323,5.228395062
340,5324,4.769470405
341,5325,5.004901961
342,5326,11.06666667
343,5327,8.12987013
344,5328,6.283783784
345,5329,5.724489796
346,5330,3.847368421
347,5331,6.785714286
348,5332,0.1875
349,5333,0.774647887
350,5334,13.88888889
351,5335,0.037037037
352,5336,0.208333333
353,5337,1.188679245
354,5338,2.180952381
355,5339,2.83
356,5340,8.673469388
357,5341,9.684210526
358,5342,3.175675676
359,5343,4.97979798
360,5344,4.140186916
361,5345,8.655172414
362,5346,5.323529412
363,5347,2.014084507
364,5348,0.199335548
365,5349,0.094752187
366,5350,1.597122302
367,5351,8.905660377
368,5352,0.633802817
369,5353,3.236842105
370,5354,5.034090909
371,5355,5.129032258
372,5356,4.630434783
373,5357,2.911111111
374,5358,19.78313253
375,5359,2.983388704
376,5360,6.439655172
377,5361,8.581081081
378,5362,3.681818182
379,5363,3.715116279
380,5364,1.901869159
381,5365,4.670542636
382,5366,4.347560976
383,5367,1.284745763
384,5368,3.606060606
385,5369,5.5625
386,5370,3.634615385
387,5371,2.819148936
388,5372,3.71257485
389,5373,5.251968504
390,5374,3.914893617
391,5375,2.73255814
392,5376,1.338235294
393,5377,4.157480315
394,5378,2.693430657
395,5379,3.326086957
396,5380,2.322580645
397,5381,2.960784314
398,5382,3
399,5383,3.459016393
400,5384,2.657718121
401,5385,3.555555556
402,5386,1.628571429
403,5387,3.870967742
404,5388,2.433333333
405,5389,1.5
406,5390,1.565217391
407,5391,2.7
408,5392,3.5625
409,5393,2.8
410,5394,4.075471698
411,5395,3.566666667
412,5396,1.825242718
413,5397,2
414,5398,4.421875
415,5399,2.444444444
416,5400,1.926829268
417,5401,1.146341463
418,5402,3.037037037
419,5403,3.358024691
420,5404,6.825
421,5405,2.313131313
422,5406,5.634408602
423,5407,2.333333333
424,5408,2.720930233
425,5409,1.916666667
426,5410,3.101010101
427,5411,7.96
428,5412,4.384615385
429,5413,2.992647059
430,5414,2.527777778
431,5415,2.207792208
432,5416,1.75
433,5417,3.770833333
434,5418,5.541666667
435,5419,5.16
436,5420,5.765957447
437,5421,2.511111111
438,5422,2.785714286
439,5423,4.893939394
440,5424,6.364864865
441,5425,5.185185185
442,5426,1.95863747
443,5427,2.924471299
444,5428,5.064516129
445,5429,3.734693878
446,5430,4.658536585
447,5431,4.875862069
448,5432,5.73255814
449,5433,2.871428571
450,5434,2.43902439
451,5435,5.904761905
